codigo_barra,modelo,efectivo
7891234567801,Smartphone Apple iPhone 15,999.99
7891234567802,Laptop HP Pavilion 15,749.50
7891234567803,Tablet Samsung Galaxy Tab,299.99
7891234567804,Auriculares Sony WH-1000XM4,279.99
7891234567805,Teclado Mecánico Corsair K70,149.99
7891234567806,Mouse Gaming Logitech G502,79.99
7891234567807,Monitor LG 27 pulgadas 4K,459.99
7891234567808,Cámara Canon EOS R10,849.99
7891234567809,Impresora HP LaserJet,199.99
7891234567810,Disco Duro Externo 2TB,119.99
7891234567811,Memoria RAM DDR4 16GB,89.99
7891234567812,Tarjeta Gráfica RTX 4060,399.99
7891234567813,Procesador Intel Core i7,329.99
7891234567814,Placa Madre ASUS ROG,249.99
7891234567815,Fuente de Poder 750W,129.99
7891234567816,Gabinete Gaming RGB,99.99
7891234567817,Cooler CPU Noctua NH-D15,89.99
7891234567818,SSD Samsung 1TB,149.99
7891234567819,Webcam Logitech C920,79.99
7891234567820,Micrófono Blue Yeti,149.99
7891234567821,Remera Adidas Originals,35.99
7891234567822,Jeans Levis 501,79.99
7891234567823,Buzo Nike Hoodie,65.99
7891234567824,Campera North Face,199.99
7891234567825,Pantalón Jogger Puma,45.99
7891234567826,Zapatillas Nike Air Max,129.99
7891234567827,Zapatos Clarks Desert Boot,119.99
7891234567828,Sandalias Havaianas,25.99
7891234567829,Botas Timberland,179.99
7891234567830,Zapatillas Converse Chuck,69.99
7891234567831,Café Starbucks Premium,15.99
7891234567832,Té Earl Grey Twinings,12.99
7891234567833,Chocolate Lindt 70% Cacao,8.99
7891234567834,Galletas Oreo Original,4.99
7891234567835,Cereales Kelloggs Corn Flakes,6.99
7891234567836,Aceite de Oliva Extra Virgen,18.99
7891234567837,Pasta Barilla Spaghetti,3.99
7891234567838,Arroz Gallo Largo Fino,4.99
7891234567839,Leche La Serenísima 1L,2.99
7891234567840,Yogur Danone Natural,1.99
7891234567841,Libro Clean Code,49.99
7891234567842,Libro Python Crash Course,39.99
7891234567843,Libro JavaScript The Good Parts,34.99
7891234567844,Libro Design Patterns,44.99
7891234567845,Libro The Pragmatic Programmer,42.99
7891234567846,Cuaderno Moleskine A5,19.99
7891234567847,Bolígrafo Pilot G2,2.99
7891234567848,Marcadores Sharpie Set,12.99
7891234567849,Calculadora Casio FX-82MS,24.99
7891234567850,Agenda 2024 Paperblanks,29.99
